attempt_id,poll_type,poll_type_2,poll_id,poll_source,course_id,course_session_id,on_demand_session_id,evaluation_id,classroom_activity_id,is_course_session_deleted,poll_answered,poll_seen,user_id,question_type,question_id,question_text,question_image_flag,question_format,show_correct_answer,choice_type,selected_choice_id,submitted_choice_text,correct_choice_id,is_correct_answer,poll_start_time,poll_end_time,poll_duration,total_choices_selected,creator_id,is_poll_deleted,poll_created_at,poll_updated_at,choice_submitted_at,rn
mcq15192632,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,647329,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269521,,1269522,0,12/16/25 5:59,12/16/25 6:00,60,2,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 6:00,1
mcq15192441,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,647402,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269522,,1269522,1,12/16/25 5:59,12/16/25 6:00,60,1,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 6:00,1
mcq15192335,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,652829,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269522,,1269522,1,12/16/25 5:59,12/16/25 5:59,61,1,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 5:59,1
mcq15192557,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,651248,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269524,,1269522,0,12/16/25 5:59,12/16/25 5:59,60,2,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 5:59,1
mcq15192424,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,0,0,647362,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,-1,,1269522,,12/16/25 5:59,12/16/25 5:59,,0,557612,0,12/11/25 10:53,12/11/25 10:53,,1
mcq15192518,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,648844,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269522,,1269522,1,12/16/25 5:59,12/16/25 5:59,60,2,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 5:59,1
mcq15192527,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,652837,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269524,,1269522,0,12/16/25 5:59,12/16/25 5:59,60,2,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 5:59,1
mcq15192446,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,647395,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269522,,1269522,1,12/16/25 5:59,12/16/25 5:59,60,1,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 5:59,1
mcq15192387,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,648865,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269524,,1269522,0,12/16/25 5:59,12/16/25 5:59,60,1,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 5:59,1
mcq15192520,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,651202,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269522,,1269522,1,12/16/25 5:59,12/16/25 5:59,60,2,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 5:59,1
mcq15192617,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,647385,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269522,,1269522,1,12/16/25 5:59,12/16/25 6:00,60,2,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 6:00,1
mcq15192625,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,647336,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269522,,1269522,1,12/16/25 5:59,12/16/25 6:00,60,3,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 6:00,1
mcq15192462,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,651254,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269522,,1269522,1,12/16/25 5:59,12/16/25 5:59,60,1,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 5:59,1
mcq15192460,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,0,0,651252,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,-1,,1269522,,12/16/25 5:59,12/16/25 5:59,,0,557612,0,12/11/25 10:53,12/11/25 10:53,,1
mcq15192448,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,647398,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269523,,1269522,0,12/16/25 5:59,12/16/25 6:00,60,1,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 6:00,1
mcq15192435,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,0,0,648917,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,-1,,1269522,,12/16/25 5:59,12/16/25 5:59,,0,557612,0,12/11/25 10:53,12/11/25 10:53,,1
mcq15192407,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,647346,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269523,,1269522,0,12/16/25 5:59,12/16/25 5:59,60,1,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 5:59,1
mcq15192400,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,0,0,647356,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,-1,,1269522,,12/16/25 5:59,12/16/25 5:59,,0,557612,0,12/11/25 10:53,12/11/25 10:53,,1
mcq15192447,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,647396,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269523,,1269522,0,12/16/25 5:59,12/16/25 5:59,60,1,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 5:59,1
mcq15192419,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,0,0,648896,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,-1,,1269522,,12/16/25 5:59,12/16/25 5:59,,0,557612,0,12/11/25 10:53,12/11/25 10:53,,1
mcq15192505,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,647382,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269523,,1269522,0,12/16/25 5:59,12/16/25 5:59,60,2,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 5:59,1
mcq15192398,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,647355,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269523,,1269522,0,12/16/25 5:59,12/16/25 5:59,60,1,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 5:59,1
mcq15192533,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,647340,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269522,,1269522,1,12/16/25 5:59,12/16/25 6:00,60,2,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 6:00,1
mcq15192389,mcq,SECTION_CHECK,342526,course session,14797,70712,,,148962,0,1,1,647328,has correct answer,324456,أوجد قياس الزاوية س في الشكل المقابل.,1,image and text,0,MCQ,1269522,,1269522,1,12/16/25 5:59,12/16/25 6:00,60,1,557612,0,12/11/25 10:53,12/11/25 10:53,12/16/25 6:00,1
